KEGG;NAME;ENZYME;IAFMODEL;UMBBD;CODE
R05750;deacetylisoipecoside dopamine-lyase|;4.3.3.3;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1>+C(H)(C(HC(HC(H2)))(C(HC(H2C(HO)))(C(C(O(C(H3))O))(C(H)(O(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1><=>C(H2)(C(H)(C(HC(HC(H2)))(C(H)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){6})))))<6>)O(C(H)(C(C(O(C(H3))O))(){2})))))<2>C(H)(C(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2)(C(H2)(N(H)(){2}))){3})))))<3>)<2>)
R04301;S-Adenosyl-L-methionine:catechol O-methyltransferase|;2.1.1.6;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R02535;3,4-Dihydroxyphenetylamine,ascorbate:oxygen oxidoreductase|;1.14.17.1;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1>+C(HC(HO(H)C(H2O(H))))(C(O(H))(C(O(H))(C(O)(O(){1}))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(H2))))(){1})))))<1>+C(HC(HO(H)C(H2O(H))))(C(O)(C(O)(C(O)(O(){1}))))<1>
R04300;4-(2-Aminoethyl)-1,2-benzenediol:oxygen|;1.4.3.4|1.4.3.6|1.4.99.4;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HO)))(){1})))))<1>
R03672;;;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1>+C(H2)(C(C(H)(C(HC(O(H)O))(N(H)(C(C(H)(C(O)(C(O)(){1}))){2}))))<2>)<1><=>C(H)(C(H)(C(O)(C(O)(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1>+C(H2)(C(HC(O(H)O))(N(H)(C(C(H)(C(O(H))(C(O(H))(C(H)(C(){1,4})))))<4>)))<1>
R02077;3,4-Dihydroxy-L-phenylalanine:2-oxoglutarate aminotransferase|;2.6.1.49;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1>+C(H2C(OC(O(H)O))C(H2C(O(H)O)))<=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(OC(O(H)O))))(){1})))))<1>+C(H2C(HN(H2)C(O(H)O))C(H2C(O(H)O)))
R02076;3,4-Dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase|;1.13.11.30;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1><=>(C(C(HO)C(H2C(HN(H2)C(O(H)O))))C(HC(HC(O(H)C(O(H)O)))))
R02075;3,4-Dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase|;1.13.11.29;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1><=>C(C(HC(O(H)C(O(H)O)))C(HC(HO))C(H2C(HN(H2)C(O(H)O))))
R02080;3-Hydroxy-L-tyrosine carboxy-lyase|;4.1.1.25|4.1.1.28;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1>
R02079;3,4-Dihydroxy-L-phenylalanine ammonia-lyase|;4.3.1.11;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(H)O))))(){1})))))<1>
R03374;Caffeoyl-CoA:3-(3,4-dihydroxyphenyl)lactate 2'-O-caffeoyltransferase|;2.3.1.140;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HO(H)C(O(H)O))))(){1})))))<1>+C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1><=>C(H2)(C(HC(O(H)O))(O(C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){7})))))<7>)))))C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){2})))))<2>)
R03373;4-Hydroxyphenyllactate:NAD+ oxidoreductase|;1.1.1.237;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HO(H)C(O(H)O))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(OC(O(H)O))))(){1})))))<1>
R03300;3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase|;1.2.1.5|1.2.1.29;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HO)))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>
R03302;3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase|;1.2.1.5;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HO)))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>
R03304;S-Adenosyl-L-methionine:catechol O-methyltransferase|;2.1.1.6;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R06524;S-adenosyl-L-methionine:homoprotocatechuate O-methyltransferase|;2.1.1.25;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R03303;3,4-Dihydroxyphenylacetate:oxygen 2,3-oxidoreductase (decyclizing)|;1.13.11.15;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(O(H)O)))(){1})))))<1><=>C(HC(HC(O(H)C(O(H)O)))C(C(HO)C(H2C(O(H)O))))
R05299;4-Methylcatechol:oxygen 1,2-oxidoreductase(decyclizing)|;1.13.11.1;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H3))(){1})))))<1><=>(C(C(HC(O(H)O))C(H3))C(HC(HC(O(H)O))))
R05295;4-Methylcatechol:oxygen 2,3-oxidoreductase(decyclizing)|;1.13.11.2;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H3))(){1})))))<1><=>(C(HC(C(HO)C(H3)))C(HC(O(H)C(O(H)O))))
R06575;S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate|;2.1.1.68;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(H2O(H)))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HC(HC(H2O(H)))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R06574;S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate|;2.1.1.68;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(HO))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HC(HC(HO))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R06571;cinnamyl-alcohol:NADP+ oxidoreductase|;1.1.1.195;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(HO))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(H2O(H)))))(){1})))))<1>
R01941;3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase|;1.2.1.44;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(HO))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>
R06241;;3.5.1.41;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(C(HC(O(H)O)C(H2C(O(H)O))))O))))(){1})))))<1><=>C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(C(C(C(H)(O(C(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O)(){7}){10})))))<10>)))<7>){1})))))<1>+(0)C(O(H)OC(H3))
R03366;S-Adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate|;2.1.1.68;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(H)O))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HC(HC(O(H)O))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R03365;3,4-Dihydroxy-trans-cinnamate:oxygen 3,4-oxidoreductase|;1.13.11.22;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(H)O))))(){1})))))<1><=>C(C(HC(O(H)O))C(HC(HC(O(H)O)))C(HC(HC(O(H)O))))
R03367;;4.1.1.0;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(H)O))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(H2)))(){1})))))<1>
R01943;3,4-Dihydroxy-trans-cinnamate:CoA ligase (AMP-forming)|;6.2.1.12;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(H)O))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>
R01942;S-Adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase|;2.1.1.104;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R01945;Caffeoyl-CoA:quinate O-(hydroxycinnamoyl)transferase|;2.3.1.99;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>+C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(H2)(C(O(H)C(O(H)O))(){1})))))<1><=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H2)(C(O(H)C(O(H)O))(){1})))O(C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){7})))))<7>))))))<1>
R01946;Caffeoyl-CoA:isocitrate 3-O-(3,4-dihydroxycinnamoyl)transferase|;2.3.1.126;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>+C(HC(O(H)O)C(HO(H)C(O(H)O))C(H2C(O(H)O)))<=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(O(C(HC(O(H)O)C(HC(O(H)O)C(H2C(O(H)O)))))O))))(){1})))))<1>
R02534;S-Adenosyl-L-methionine:catechol O-methyltransferase|;2.1.1.6;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(H2))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HO(H)C(H2N(H2))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R02533;S-Adenosyl-L-methionine:phenylethanolamine N-methyltransferase|;2.1.1.28;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(H2))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(HC(H3)))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R02532;4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen|;1.4.3.4;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(H2))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(HO)))(){1})))))<1>
R02920;S-Adenosyl-L-methionine:catechol O-methyltransferase|;2.1.1.6;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(HC(H3)))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HO(H)C(H2N(HC(H3)))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R02919;4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen|;1.4.3.4;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2N(HC(H3)))))(){1})))))<1><=>(C(H3)N(H2))+C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(HO)))(){1})))))<1>
R04881;S-Adenosyl-L-methionine:catechol O-methyltransferase|;2.1.1.6;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2O(H))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HO(H)C(H2O(H))))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R04880;3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase|;1.1.1.1;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(H2O(H))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(HO)))(){1})))))<1>
R04882;3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase|;1.2.1.5;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(HO)))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(O(H)O)))(){1})))))<1>
R04883;3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase|;1.2.1.5;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(HO)))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(O(H)O)))(){1})))))<1>
R04887;S-Adenosyl-L-methionine:catechol O-methyltransferase|;2.1.1.6;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(O(H)O)))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(HO(H)C(O(H)O)))(){1})))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R01632;Protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)|;1.13.11.8;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>(C(C(O(H)O)C(HC(HO)))C(HC(O(H)C(O(H)O))))
R01631;Protocatechuate:oxygen 3,4-oxidoreductase (decyclizing)|;1.13.11.3;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>(C(C(O(H)O)C(HC(O(H)O)))C(HC(HC(O(H)O))))
R01637;;;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>C(H)(C(C(O(H)O))(C(H)(C(O(H))(C(O(H))(C(O(H))(){1})))))<1>
R00822;Protocatechuate carboxy-lyase|;4.1.1.63;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>C(H)(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){1})))))<1>
R05280;;1.14.12.0;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>C(H)(C(H)(C(N(H2))(C(H)(C(H)(C(C(O(H)O))(){1})))))<1>
R01629;;1.13.11.0;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(O(H))(){1})))))<1>
R01630;;1.13.11.0;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(O(H))(){1})))))<1>
R04258;;1.13.11.1;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(Cl)(){1})))))<1><=>(C(ClC(HC(O(H)O)))C(HC(HC(O(H)O))))
R05406;;1.13.11.2;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(Cl)(){1})))))<1><=>(C(HC(ClC(HO)))C(HC(O(H)C(O(H)O))))
R05265;;1.14.0.0;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(N[+1](O(H)O))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(O(H))(){1})))))<1>+N(O(H)O)
R04061;Benzene-1,2,4-triol:oxygen 1,2-oxidoreductase (decyclizing)|;1.13.11.37;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(O(H))(){1})))))<1><=>(C(HC(HC(O(H)O)))C(O(H)C(HC(O(H)O))))
R03891;Benzene-1,2,4-triol:oxygen 1,2-oxidoreductase (decyclizing)|;1.13.11.37|1.13.11.44;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(O(H))(){1})))))<1><=>(C(HC(HC(O(H)O)))C(OC(H2C(O(H)O))))
R06853;;1.1.0.0;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(O(H))(){1})))))<1><=>C(H)(C(H)(C(O)(C(O(H))(C(H)(C(O)(){1})))))<1>
R03246;1,2,3-Trihydroxybenzene:oxygen 1,2-oxidoreductase (decyclizing)|;1.13.11.35;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(O(H))(C(H)(){1})))))<1><=>(C(H2C(OC(O(H)O)))C(HC(HC(O(H)O))))
R05250;;;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(O(H))(C(H)(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(H)(C(O(H))(C(H)(){1})))))<1>
R04297;1,2,3,5-Tetrahydroxybenzene:1,2,3-trihydroxybenzene|;1.97.1.2;None;None;C(H)(C(H)(C(O(H))(C(O(H))(C(O(H))(C(H)(){1})))))<1><=>C(H)(C(O(H))(C(H)(C(O(H))(C(H)(C(O(H))(){1})))))<1>
R03289;3'-Phosphoadenylylsulfate:quercetin-3,3'-bissulfate|;2.8.2.28;None;None;C(H)(C(H)(C(O(H))(C(O(S(O(H)OO)))(C(H)(C(C(C(O(S(O(H)OO)))(C(O)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){10})))O(){7}))<10>)))<7>){1})))))<1>+C(H)(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HC(H2O(P(O(S(O(H)OO))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1><=>C(H)(C(H)(C(O(H))(C(O(S(O(H)OO)))(C(H)(C(C(C(O(S(O(H)OO)))(C(O)(C(C(C(H)(C(O(S(O(H)OO)))(C(H)(C(O(H))(){10})))O(){7}))<10>)))<7>){1})))))<1>+C(H)(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>
R03164;1,4,5,6-Tetrahydro-6-oxonicotinate:ferredoxin oxidoreductase|;1.3.7.1;None;None;C(H)(C(H)(C(O(H))(N(C(H)(C(C(O(H)O))(){1})))))<1><=>C(H2)(C(H2)(C(O)(N(H)(C(H)(C(C(O(H)O))(){1})))))<1>
R03204;2,5-Dihydroxypyridine:oxygen 5,6-oxidoreductase|;1.13.11.9;None;None;C(H)(C(H)(C(O(H))(N(C(H)(C(O(H))(){1})))))<1><=>(C(HC(O(H)O))C(HC(ON(H2))))+C(HO(H)O)
R04130;2,6-Dihydroxypyridine,NADH:oxygen oxidoreductase (3-hydroxylating)|;1.14.13.10;None;None;C(H)(C(H)(C(O(H))(N(C(O(H))(C(H)(){1})))))<1><=>C(H)(C(H)(C(O(H))(N(C(O(H))(C(O(H))(){1})))))<1>
R05548;;3.1.8.1;None;None;C(H)(C(H)(C(O(P(O(C(H2C(H3)))O(C(H2C(H3)))O)))(C(H)(C(H)(C(N[+1](O(H)O))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(H)(C(H)(C(N[+1](O(H)O))(){1})))))<1>+P(O(H)O(C(H2C(H3)))O(C(H2C(H3)))O)
R02585;Protein-tyrosine-phosphate phosphohydrolase|;3.1.3.48;None;None;C(H)(C(H)(C(O(P(O(H)O(H)O)))(C(H)(C(H)(C(C(H2C(HN(HC(RO))C(ON(HR)))))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(HN(HC(RO))C(ON(HR)))))(){1})))))<1>
R03024;4-Nitrophenyl phosphate phosphohydrolase|;3.1.3.1|3.1.3.2|3.1.3.41;None;None;C(H)(C(H)(C(O(P(O(H)O(H)O)))(C(H)(C(H)(C(N[+1](O(H)O))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(H)(C(H)(C(N[+1](O(H)O))(){1})))))<1>
R05485;;;None;None;C(H)(C(H)(C(O(P(SO(C(H2C(H3)))O(C(H2C(H3))))))(C(H)(C(H)(C(N(H2))(){1})))))<1><=>C(H)(C(H)(C(O(H))(C(H)(C(H)(C(N(H2))(){1})))))<1>+P(SO(H)O(C(H2C(H3)))O(C(H2C(H3))))
