KEGG;NAME;ENZYME;IAFMODEL;UMBBD;CODE
R05564;;1.14.15.0;None;None;(2)C(Cl)(N(C(N(HC(H2C(H3))))(N(C(N(HC(HC(H3)C(H3))))(N(){1})))))<1><=>(2)C(Cl)(N(C(N(H2))(N(C(N(HC(H2C(H3))))(N(){1})))))<1>+(2)C(OC(H3)C(H3))
R05565;;1.14.15.0;None;None;(2)C(Cl)(N(C(N(HC(H2C(H3))))(N(C(N(HC(HC(H3)C(H3))))(N(){1})))))<1><=>(2)C(Cl)(N(C(N(H2))(N(C(N(HC(HC(H3)C(H3))))(N(){1})))))<1>+(2)C(HOC(H3))
R00106;NADPH:ferricytochrome oxidoreductase|;1.6.2.4;None;None;(2)C(H)(C(C(C(H2C(H2C(O(H)O))))(C(C(H3))(C(C(H)(C(C(C(H3))(C(C(H3))(C(C(H)(C(C(C(HC(H2)))(C(C(H3))(C(C(H)(C(C(C(H3))(C(C(H2C(H2C(O(H)O))))(C(N[+1](Fe[+3](N(){2,5}N(){12,15}N[+1](){7,10})){17}){1})))<17>))<15>)))<12>))<10>)))<7>))<5>)))<2>)<1><=>(2)C(H)(C(C(C(H2C(H2C(O(H)O))))(C(C(H3))(C(C(H)(C(C(C(H3))(C(C(H3))(C(C(H)(C(C(C(HC(H2)))(C(C(H3))(C(C(H)(C(C(C(H3))(C(C(H2C(H2C(O(H)O))))(C(N[+1](Fe[+2](N(){2,5}N(){12,15}N[+1](){7,10})){17}){1})))<17>))<15>)))<12>))<10>)))<7>))<5>)))<2>)<1>
R03208;Iodide:hydrogen-peroxide oxidoreductase|;1.11.1.8;None;None;(2)C(H)(C(C(H2C(HN(H2)C(O(H)O))))(C(H)(C(I)(C(O(H))(C(I)(){1})))))<1><=>(C(N(H2)C(H2))C(O(H)O))+C(H)(C(C(H)(C(I)(C(O(H))(C(I)(){1})))O(C(C(I)(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(C(H)(C(I)(){4})))))<4>)))<1>
R00046;Indole-3-acetaldehyde:oxygen oxidoreductase|;1.2.3.7;None;None;(2)C(H)(C(C(H2C(HO)))(C(C(H)(C(H)(C(H)(C(H)(C(N(H)(){1}){3})))))<3>))<1><=>(2)C(H)(C(C(H2C(O(H)O)))(C(C(H)(C(H)(C(H)(C(H)(C(N(H)(){1}){3})))))<3>))<1>
R00060;Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)|;1.21.3.4;None;None;(2)C(H)(C(C(H3))(C(H)(C(O(H))(C(C(O(H))(){1}C(O)(C(C(C(O(C(H3))O))(C(H)(C(O(H))(C(H)(C(O(C(H3)))(){7})))))<7>))))))<1><=>
R00061;Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)|;1.21.3.5;None;None;(2)C(H)(C(C(H3))(C(H)(C(O(H))(C(C(O(H))(){1}C(O)(C(C(C(O(C(H3))O))(C(H)(C(O(H))(C(H)(C(O(C(H3)))(){7})))))<7>))))))<1><=>
R05418;;1.13.99.0;None;None;(2)C(H)(C(Cl)(C(Cl)(C(H)(C(O(C(H2C(O(H)O))))(C(Cl)(){1})))))<1><=>(2)(C(HO)C(O(H)O))+(2)C(H)(C(Cl)(C(Cl)(C(H)(C(O(H))(C(Cl)(){1})))))<1>
R02670;Hydorogen-peroxide:hydrogen-peroxide oxidoreductase|;1.11.1.6;None;None;(2)C(H)(C(H)(C(C(O(H)O))(C(N(H2))(C(O(H))(C(H)(){1})))))<1><=>C(H)(C(H)(C(C(C(C(O(H)O))(C(H)(){1})N(C(C(C(H)(C(O)(C(N(H2))(C(C(O(H)O))(){6})))O(){3}))<6>)))<3>))<1>
R06768;;;None;None;(2)C(H)(C(H)(C(C(S(R)O))(N(H)(C(C(H3))(){1}))))<1>+C(H)(C(HO(H))(C(HO(H))(C(HO(C(H3)))(C(C(H3)C(H3))(O(){1}))))O(C(C(H)(C(H)(C(C(C(C(H3))(){3}O(C(O)(C(C(O(H))(){6}N(H)(C(O)(C(C(C(H3))(C(C(H)(N(H)(){13})C(O)(N(H)(C(C(O(H))(C(C(H)(C(H)(C(C(C(H3))(C(O(C(O)(){18})){20})O(C(H)(C(HO(H))(C(HO(H))(C(HO(C(H3)))(C(C(H3)C(H3))(O(){25})))))<25>)))))<20>))<18>)))))<13>)))))))<6>)))<3>))<1><=>C(H)(C(HO(C(H3)))(C(C(H3)C(H3))(O(C(H)(C(HO(H))(){1}O(C(C(H)(C(H)(C(C(C(C(H3))(){7}O(C(O)(C(C(O(H))(){10}N(H)(C(O)(C(C(H)(N(H)(C(C(C(H3))(){17}C(O)(N(H)(C(C(O(H))(C(C(H)(C(H)(C(C(C(H3))(C(O(C(O)(){23})){25})O(C(H)(C(HO(H))(C(H)(C(HO(C(H3)))(C(C(H3)C(H3))(O(){30}))O(C(O)(C(C(H)(C(H)(C(C(H3))(N(H)(){35}))))<35>)))))<30>)))))<25>))<23>))))))<17>)))))))<10>)))<7>)))))O(C(O)(C(C(H)(C(H)(C(C(H3))(N(H)(){4}))))<4>)))<1>
R05425;;1.14.12.12;None;None;(2)C(H)(C(H)(C(H)(C(C(H2C(H3)))(C(H)(C(H)(){1})))))<1><=>(2)C(H)(C(H)(C(H)(C(C(HO(H)C(H3)))(C(H)(C(H)(){1})))))<1>
R05427;;1.14.12.12;None;None;(2)C(H)(C(H)(C(H)(C(C(OC(H3)))(C(H)(C(H)(){1})))))<1><=>(2)C(H)(C(H)(C(H)(C(C(OC(H2O(H))))(C(H)(C(H)(){1})))))<1>
R00664;Bezoyl-CoA:L-ornithine N-benzoyltransferase|;2.3.1.127;None;None;(2)C(H)(C(H)(C(H)(C(C(S(CoA)O))(C(H)(C(H)(){1})))))<1>+C(H2C(HN(H2)C(O(H)O))C(H2C(H2N(H2))))<=>C(H2)(C(H2)(C(HC(O(H)O))(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){6})))))<6>))))C(H2)(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){5})))))<5>))))
R00058;1,2-Benzenediol:oxygen oxidoreductase|;1.10.3.1;None;None;(2)C(H)(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){1})))))<1><=>(2)C(H)(C(H)(C(H)(C(O)(C(O)(C(H)(){1})))))<1>
R05493;;1.14.0.0;None;None;(2)C(H)(C(H)(C(O(C(H2C(O(H)O))))(C(H)(C(H)(C(Cl)(){1})))))<1><=>(2)(C(HO)C(O(H)O))+(2)C(H)(C(H)(C(O(H))(C(H)(C(H)(C(Cl)(){1})))))<1>
R00031;1,2-Benzenediol:oxygen oxidoreductase|;1.10.3.1;None;None;(2)C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1><=>(2)C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1>
R00042;4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)|;1.2.3.13|1.2.3.0;None;None;(2)C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(OC(O(H)O))))(){1})))))<1><=>(2)C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>
R00071;;;None;None;(2)C(H)(C(H)(C(O(H))(C(H)(C(O(H))(C(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))(){1})))))<1><=>(2)C(H)(C(H)(C(H)(C(O(H))(C(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))(C(H)(){1})))))<1>
R00045;1,2-Benzenediol:oxygen oxidoreductase|;1.10.3.1;None;None;(2)C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1><=>(2)C(H)(C(H)(C(O)(C(O)(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1>
R00047;6-Hydroxynicotinate, hydrogen-donor:oxygen oxidoreductase|;1.14.99.0;None;None;(2)C(H)(C(H)(C(O(H))(N(C(H)(C(C(O(H)O))(){1})))))<1><=>(2)C(H)(C(H)(C(O(H))(N(C(H)(C(O(H))(){1})))))<1>
R04884;5,6-Dihydroxyindole:oxygen oxidoreductase|;1.1.3.0|1.14.18.1;None;None;(2)C(H)(C(H)(N(H)(C(C(H)(C(O(H))(C(O(H))(C(H)(C(){1,4})))))<4>)))<1><=>(2)C(H)(C(H)(N(H)(C(C(H)(C(O)(C(O)(C(H)(C(){1,4})))))<4>)))<1>
R05715;mycothiol:NAD+ oxidoreductase|;1.8.1.15;None;None;(2)C(H)(C(HN(HC(OC(HN(HC(OC(H3)))C(H2S(H))))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){3})))))<3>))<1><=>C(H2)(C(HN(HC(OC(H3))))(C(O)(N(H)(C(H)(C(H)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){8})))))<8>)O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){5})))))<5>)))S(S(C(H2)(C(HN(HC(OC(H3))))(C(O)(N(H)(C(H)(C(H)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){11})))))<11>)O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){8})))))<8>)))))))
R05716;mycothiol:NADP+ oxidoreductase|;1.8.1.15;None;None;(2)C(H)(C(HN(HC(OC(HN(HC(OC(H3)))C(H2S(H))))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){3})))))<3>))<1><=>C(H2)(C(HN(HC(OC(H3))))(C(O)(N(H)(C(H)(C(H)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){8})))))<8>)O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){5})))))<5>)))S(S(C(H2)(C(HN(HC(OC(H3))))(C(O)(N(H)(C(H)(C(H)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){11})))))<11>)O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){8})))))<8>)))))))
R00055;Nucleoside:oxygen 5'-oxidoreductase|;1.1.3.28;None;None;(2)C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(H)(C(O)(){5})))){2})<5>)))<2>)<1><=>(2)C(H)(C(HO(H))(C(HO(H))(C(HC(HO))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>
R00012;GTP:GTP guanylyltransferase|;2.7.7.45;None;None;(2)C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){5})))){2})<5>)))<2>)<1><=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(P(O(H)O)(O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){19})))){16})<19>)))<16>O(){12}))))<12>)))))))))))
R03194;S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase|;2.1.1.107;None;None;(2)C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>+C(H2)(C(C(C(H2C(H2C(O(H)O))))(C(C(H2C(O(H)O)))(C(C(H2)(C(C(C(H2C(H2C(O(H)O))))(C(C(H2C(O(H)O)))(C(C(H2)(C(C(C(H2C(H2C(O(H)O))))(C(C(H2C(O(H)O)))(C(C(H2)(C(C(C(H2C(O(H)O)))(C(C(H2C(H2C(O(H)O))))(C(N(H)(){17}){1})))<17>)N(H)(){12}))))<12>)N(H)(){7}))))<7>)N(H)(){2}))))<2>)<1><=>(2)C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>+C(H2)(C(C(C(H2C(H2C(O(H)O))))(C(C(H2C(O(H)O)))(C(C(H)(C(C(C(H3)C(H2C(O(H)O)))(C(HC(H2C(H2C(O(H)O))))(C(C(H)(C(C(C(H3)C(H2C(O(H)O)))(C(HC(H2C(H2C(O(H)O))))(C(C(H)(C(C(C(H2C(O(H)O)))(C(C(H2C(H2C(O(H)O))))(C(N(H)(){17}){1})))<17>)N(){12}))))<12>)N(H)(){7}))))<7>)N(H)(){2}))))<2>)<1>
